2.09,0.35
1.98,0.33
2.13,0.36
2.21,0.32
2.47,0.32
3.08,0.96
3.33,0.35
3.53,0.26
3.91,0.25
4.13,0.21
2.22,0.47
2.33,0.56
2.53,0.60
2.11,0.47
2.52,0.39
2.72,0.37
3.67,0.48
3.95,0.37
4.91,0.49
4.81,0.30
25.13,4.02
27.47,4.85
25.42,4.36
24.63,4.11
26.71,4.79
20.52,2.52
18.81,2.23
15.11,1.10
15.05,1.28
13.62,1.01
52.74,8.43
52.46,8.90
55.24,8.87
69.04,10.17
85.17,12.65
116.14,18.00
142.65,20.51
155.81,30.04
117.05,14.55
77.67,6.58
23.04,2.85
20.61,2.70
23.88,3.03
27.91,3.54
28.53,4.03
30.56,3.80
28.42,3.20
26.62,2.39
23.45,1.78
21.36,1.37
19.80,5.02
30.89,6.21
23.54,5.43
36.60,7.27
45.92,8.37
85.98,11.87
120.39,15.40
106.08,13.29
78.26,11.27
52.51,3.25
